symbol,date,close
JINN,2016-04-15,4.86
JINN,2016-04-14,4.58
JINN,2016-04-13,4.48
JINN,2017-08-12,84.40
JINN,2017-08-11,90.34
JINN,2017-08-09,168.34
JINN,2017-08-08,170.46
JINN,2017-08-07,158.65
JINN,2017-08-06,116.69
JINN,2017-08-05,32.23
JINN,2017-08-04,91.42
JINN,2017-08-03,112.55
JINN,2017-07-28,121.84
JINN,2016-03-24,3.67
JINN,2016-03-23,4.31
JINN,2016-03-22,4.16
JINN,2016-03-21,3.52
JINN,2016-03-20,3.54
JINN,2016-03-19,4.72
JINN,2016-03-18,4.54
JINN,2016-03-17,4.89
JINN,2016-03-16,3.60
JINN,2016-03-15,3.75
JINN,2016-03-14,3.28
JINN,2016-03-13,3.48
JINN,2016-03-12,4.19
JINN,2016-03-09,3.93
JINN,2016-03-08,3.94
JINN,2016-03-07,3.34
JINN,2016-03-06,2.96
JINN,2016-03-05,3.10
JINN,2016-03-04,2.52
JINN,2016-03-03,2.39
JINN,2016-03-02,1.87
JINN,2016-03-01,1.95
JINN,2016-02-29,1.88
JINN,2015-01-25,4.45
JINN,2015-01-24,4.50
JINN,2015-01-23,3.81
JINN,2015-01-22,4.22
JINN,2015-01-21,4.17
JINN,2015-01-20,4.05
JINN,2015-01-19,4.59
JINN,2015-01-18,3.91
JINN,2015-01-17,4.18
JINN,2015-01-16,3.91
JINN,2015-01-15,4.15
JINN,2015-01-14,3.22
JINN,2015-01-13,4.79
JINN,2015-01-12,5.52
JINN,2015-01-11,5.13
JINN,2015-01-10,5.20
JINN,2016-02-09,2.49
JINN,2016-02-08,2.71
JINN,2016-02-07,2.85
JINN,2016-02-06,2.76
JINN,2016-02-05,2.83
JINN,2016-02-04,2.72
JINN,2016-02-03,2.65
JINN,2016-02-02,2.58
JINN,2016-02-01,2.60
JINN,2016-01-31,2.85
JINN,2016-01-30,2.75
JINN,2016-01-29,2.58
JINN,2016-01-28,2.76
JINN,2016-01-27,3.55
JINN,2016-01-26,3.02
JINN,2016-01-25,2.68
JINN,2016-01-24,2.56
JINN,2016-01-22,2.66
JINN,2016-01-21,2.46
JINN,2016-01-20,2.58
JINN,2016-01-19,2.78
JINN,2016-01-18,2.65
JINN,2016-01-17,3.15
JINN,2016-01-16,2.84
JINN,2016-01-15,2.83
JINN,2016-01-14,3.39
JINN,2016-01-13,3.60
JINN,2016-01-12,3.04
JINN,2016-01-11,2.78
JINN,2016-01-10,2.66
JINN,2016-01-09,2.62
JINN,2016-01-08,2.49
JINN,2016-01-07,2.52
JINN,2016-01-06,2.47
JINN,2016-01-05,2.47
JINN,2015-12-28,2.87
JINN,2014-12-03,7.11
JINN,2014-12-02,7.87
JINN,2014-12-01,6.70
JINN,2015-08-09,2.64
JINN,2014-10-20,5.44
JINN,2014-10-19,6.12
JINN,2014-11-29,6.72
JINN,2014-11-28,6.44
JINN,2014-11-27,6.37
JINN,2015-12-18,2.61
JINN,2015-12-17,2.59
JINN,2015-12-16,2.56
JINN,2015-12-15,2.60
JINN,2015-12-14,2.81
JINN,2015-12-13,2.80
JINN,2015-12-12,2.91
JINN,2015-03-25,3.35
JINN,2015-03-24,3.45
JINN,2015-03-23,3.75
JINN,2015-03-22,3.57
JINN,2015-12-07,2.72
JINN,2015-12-06,2.80
JINN,2015-12-05,2.30
JINN,2015-12-04,2.69
JINN,2015-12-03,2.64
JINN,2015-12-02,2.47
JINN,2015-12-01,2.54
JINN,2015-11-30,2.54
JINN,2015-11-29,2.57
JINN,2015-11-28,2.42
JINN,2015-11-27,2.71
JINN,2015-11-26,2.91
JINN,2015-11-25,2.68
JINN,2015-11-24,2.56
JINN,2015-11-23,2.62
JINN,2015-11-20,1.57
JINN,2015-11-19,1.60
JINN,2014-10-27,5.46
JINN,2014-10-26,5.87
JINN,2014-10-25,5.99
JINN,2014-10-24,5.36
JINN,2014-10-23,5.16
JINN,2014-10-22,5.32
JINN,2014-10-21,5.01
JINN,2017-01-16,9.50
JINN,2017-01-15,9.99
JINN,2014-10-18,5.77
JINN,2014-10-17,5.70
JINN,2015-11-04,2.06
JINN,2015-11-03,2.52
JINN,2015-10-30,2.47
JINN,2015-10-29,2.44
JINN,2015-10-28,2.18
JINN,2015-10-27,2.14
JINN,2015-10-26,1.91
JINN,2015-10-25,1.96
JINN,2015-10-24,2.00
JINN,2015-10-23,1.98
JINN,2015-10-22,1.99
JINN,2015-10-21,3.17
JINN,2015-10-20,3.17
JINN,2015-10-19,2.41
JINN,2015-10-18,3.21
JINN,2015-10-17,1.54
JINN,2015-10-16,2.75
JINN,2015-10-15,3.01
JINN,2015-10-14,2.76
JINN,2015-10-13,3.17
JINN,2015-10-08,3.44
JINN,2015-10-07,3.48
JINN,2017-02-03,6.85
JINN,2017-02-01,8.56
JINN,2017-01-31,8.69
JINN,2017-01-30,8.75
JINN,2017-01-29,8.78
JINN,2017-01-28,9.43
JINN,2017-01-27,10.39
JINN,2017-01-26,10.56
JINN,2017-01-25,10.40
JINN,2017-01-24,10.19
JINN,2017-01-21,11.19
JINN,2017-01-20,11.06
JINN,2017-01-19,9.49
JINN,2017-01-18,10.91
JINN,2016-03-28,4.12
JINN,2016-03-27,3.52
JINN,2017-01-14,9.26
JINN,2017-01-12,8.85
JINN,2017-01-11,8.80
JINN,2017-01-10,9.75
JINN,2017-01-05,10.99
JINN,2017-01-04,11.50
JINN,2017-01-03,10.67
JINN,2016-12-22,8.16
JINN,2016-12-21,8.19
JINN,2016-12-20,8.10
JINN,2016-12-19,7.91
JINN,2016-12-18,8.01
JINN,2016-12-09,7.68
JINN,2016-12-08,8.19
JINN,2016-12-07,8.21
JINN,2016-11-28,8.17
JINN,2016-11-27,7.99
JINN,2016-11-26,8.15
JINN,2016-11-24,12.63
JINN,2016-11-23,13.09
JINN,2016-11-22,12.20
JINN,2016-11-21,8.66
JINN,2016-11-20,8.65
JINN,2016-11-12,13.99
JINN,2016-11-11,13.97
JINN,2016-11-10,13.47
JINN,2016-11-05,13.89
JINN,2016-11-04,13.99
JINN,2016-11-03,12.82
JINN,2015-08-18,1.98
JINN,2015-08-17,2.25
JINN,2015-08-16,2.56
JINN,2015-08-15,2.54
JINN,2015-08-14,2.51
JINN,2015-08-13,2.63
JINN,2015-08-12,2.69
JINN,2015-08-11,2.68
JINN,2015-08-10,2.64
JINN,2015-05-18,3.93
JINN,2016-07-11,27.89
JINN,2016-03-26,3.58
JINN,2016-03-25,4.03
JINN,2015-02-18,3.26
JINN,2015-02-17,3.38
JINN,2014-11-26,6.27
JINN,2014-11-25,6.39
JINN,2015-03-30,2.96
JINN,2015-03-29,3.08
JINN,2015-03-28,3.29
JINN,2015-03-27,3.21
JINN,2015-03-26,3.04
JINN,2014-11-19,4.52
JINN,2014-11-18,4.96
JINN,2014-11-17,5.24
JINN,2014-11-16,5.34
JINN,2015-03-21,3.71
JINN,2015-03-20,3.62
JINN,2015-03-19,3.74
JINN,2015-03-18,3.36
JINN,2015-03-17,4.20
JINN,2015-03-16,3.99
JINN,2015-03-15,3.91
JINN,2015-03-12,4.96
JINN,2015-03-11,4.93
JINN,2015-03-10,4.99
JINN,2015-03-09,4.20
JINN,2015-03-08,5.01
JINN,2015-03-07,4.75
JINN,2015-03-06,5.24
JINN,2015-03-05,5.49
JINN,2015-03-04,4.10
JINN,2015-03-03,4.23
JINN,2016-04-04,3.94
JINN,2016-04-03,3.87
JINN,2016-04-02,3.92
JINN,2016-04-01,3.77
JINN,2016-03-30,3.64
JINN,2016-03-29,3.88
JINN,2015-02-26,3.36
JINN,2015-02-25,3.60
JINN,2016-07-08,19.90
JINN,2016-07-07,16.75
JINN,2016-07-06,21.24
JINN,2016-07-05,19.38
JINN,2015-02-16,3.19
JINN,2015-02-15,3.08
JINN,2015-02-14,3.42
JINN,2015-06-19,4.82
JINN,2015-06-18,5.19
JINN,2015-06-17,5.45
JINN,2015-06-16,5.83
JINN,2015-06-15,4.56
JINN,2015-06-14,4.52
JINN,2015-06-13,4.81
